Country,Region,SDGi,Life Exectancy,HDI,Per Capita GDP,Income Group,Population (millions),Cropland Footprint,Grazing Footprint,Forest Product Footprint,Carbon Footprint,Fish Footprint,Built up land,Total Ecological Footprint (Consumption),Cropland,Grazing land,Forest land,Fishing ground,Built up land,Total biocapacity,Ecological (Deficit) or Reserve,Number of Earths required,Number of Countries required
Latvia,EU-27,80.3,73,0.86,"$31,973 ",HI,1.8,1.8,0.2,4,1.5,0.2,0.1,7.7,2.8,0.2,4.551.672.552,2.196.984.142,102.247.668,9.930.483.467,2.205.903.606,5.114.886.273,777.865.437
Lebanon,Middle East/Central Asia,66.3,75,0.71,,UM,6.7,0.6,0.3,0.1,1.9,0.1,0.1,3.1,0.1,0,4.789.176,6.245.492,86.278.583,318.992.262,-2.826.603.856,2.082.879.159,9.861.042.076
Lesotho,Africa,55.1,53,0.51,"$2,599 ",LM,2.2,,,,,,,1.2,,,,,,723.708.258,-427.347.297,762.179.739,1.590.496.643
Liberia,Africa,49.9,61,0.48,"$1,524 ",LI,5.3,0.2,0,0.7,0.1,0.1,0,1.2,0.1,0.3,1.991.241.595,256.777.493,39.727.176,2.731.745.972,1.489.184.417,822.771.096,454.859.847
Lithuania,EU-27,75.4,74,0.88,"$39,810 ",UM,2.7,1.8,0.3,1.3,2.6,0.2,0.2,6.4,2.8,0.3,2.283.057.719,349.368.846,163.432.462,5.967.089.276,-461.161.462,4.256.512.594,1.077.284.157
Luxembourg,EU-27,75.7,83,0.93,"$120,505 ",HI,0.6,0.9,0.5,1.4,8,0.1,0.1,11,0.4,0.1,657.103.758,885.374,67.119.396,1.228.958.605,-973.044.912,7.256.850.877,8.917.637.809
Madagascar,Africa,50.1,64,0.5,"$1,523 ",LI,29.2,0.2,0.2,0.2,0.1,0,0.1,0.8,0.2,1,580.164.786,162.087.995,63.442.166,1.978.753.711,1.184.725.168,525.771.727,401.277.096
Malawi,Africa,53.3,63,0.51,"$1,373 ",LI,20.2,0.4,0.1,0.2,0,0,0.1,0.7,0.4,0.1,12.361.597,43.757.689,88.266.461,576.487.738,-147.794.125,47.958.846,1.256.369.937
Malaysia,Asia-Pacific,70.4,75,0.8,"$28,180 ",UM,33.2,0.7,0.1,0.4,2.4,0.5,0.1,4.2,0.7,0,530.150.447,732.839.346,128.678.809,2.062.303.764,-218.007.516,2.809.121.806,2.057.106.716
Mali,Africa,54.1,59,0.43,"$2,206 ",LI,21.5,0.3,0.4,0.1,0.1,0,0.1,1,0.4,0.5,433.902.546,32.660.782,52.643.001,1.368.689.788,367.915.862,662.669.674,731.191.198
Malta,EU-27,76.8,83,0.92,"$46,806 ",HI,0.4,,,,,,,3.7,,,,,,467.363.732,-3.254.616.382,246.453.598,7.963.776.091
Martinique,Central America/Caribbean,,,,,,0.4,,,,,,,3.5,,,,,,510.104.348,-2.992.698.262,2.319.406.014,6.866.835.435
Mauritania,Africa,55.8,64,0.56,"$5,927 ",LM,4.9,0.4,1.3,0.2,0.4,0,0,2.3,0.1,2.4,49.552.859,1.116.999.731,29.604.019,3.653.577.326,1.397.169.821,1.494.096.505,617.588.545
Mauritius,Africa,68.4,74,0.8,"$21,450 ",UM,1.3,,,,,,,2.6,,,,,,675.477.406,-1.928.109.761,1.723.984.022,3.854.440.052
Mexico,North America,70.2,70,0.76,"$19,028 ",UM,131.6,0.5,0.2,0.3,1.1,0.1,0.1,2.3,0.3,0.2,427.634.638,132.918.606,82.561.173,1.202.798.995,-1.082.430.614,1.513.181.269,1.899.926.437
Mongolia,Asia-Pacific,63.5,71,0.74,"$11,435 ",LM,3.4,0.6,4.7,0.1,2.2,0,0,7.7,0.4,6.8,6.197.277.782,74.457.563,15.806.037,1.351.424.822,580.652.981,510.372.134,570.340.154
Montenegro,Other Europe,68.8,74,0.83,"$21,308 ",UM,0.6,0.5,0.4,1.1,1.3,0.1,0.3,3.7,0,0.3,1.925.736.937,248.617.634,27.905.659,2.828.793.864,-821.806.374,241.727.128,1.290.514.761
Morocco,Africa,69,74,0.68,"$7,744 ",LM,37.8,0.5,0.2,0.1,0.6,0.1,0,1.5,0.2,0.2,84.511.722,65.308.994,31.137.202,565.398.289,-979.869.888,102.321.047,2.733.061.291
Mozambique,Africa,53.6,59,0.45,"$1,232 ",LI,33.1,0.2,0.1,0.2,0.2,0,0,0.8,0.2,0.6,433.448.963,12.872.671,47.797.027,1.385.576.072,614.345.946,510.675.591,55.661.334
Myanmar,Asia-Pacific,64.3,66,0.59,"$4,090 ",LI,55.2,0.4,0,0.3,0.2,0,0.1,1.1,0.5,0,499.646.595,281.436.417,57.071.596,1.362.234.437,248.014.203,737.788.965,817.935.741
Namibia,Africa,62.7,59,0.62,"$8,949 ",UM,2.6,0.3,0.8,0.3,0.9,0,0,2.4,0.1,1.4,289.487.076,4.240.215.963,18.877.714,6.122.942.025,3.737.652.781,1.579.436.478,389.565.871
Nepal,Asia-Pacific,66.2,68,0.6,"$3,921 ",LI,30.2,0.3,0.1,0.2,0.3,0,0.1,0.9,0.2,0,86.229.445,4.625.979,100.555.424,390.028.925,-51.042.717,596.243.498,2.308.690.555
Netherlands,EU-27,79.9,81,0.94,"$58,732 ",HI,17.2,,,,,,,6,,,,,,1.113.508.517,-4.908.468.884,3.987.495.773,5.408.110.768
